MUL0099.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0941.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0947.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0947.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0978.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0978.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0992.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0992.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1008.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1008.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1015.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1015.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1045.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1045.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1055.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1055.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1060.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1060.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1071.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1071.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1076.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1076.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1088.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1088.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1117.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1117.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1137.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1137.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1139.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1139.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1159.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1159.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL1392.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL1392.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2316.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2316.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2317.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2317.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2320.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2320.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2347.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2347.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2358.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2358.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2359.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2359.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2365.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2365.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2378.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2378.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2423.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2423.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2427.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2427.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2432.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2432.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2439.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2439.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2442.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2442.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2457.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2457.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL2466.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL2466.json 1 [('ok', True), ('ok', True), ('ok', True)]
