method,budget,error_weight,metric,mean,lo,hi,dialogues
one_step,0.0,2.0,scope_questions,0.0,0.0,0.0,48
one_step,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
one_step,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
request_specific,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
request_specific,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
request_specific,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
request_specific,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
request_specific,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
request_specific,0.0,2.0,questions,0.0,0.0,0.0,48
request_specific,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
request_specific,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
request_specific,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
request_specific,0.0,2.0,scope_questions,0.0,0.0,0.0,48
request_specific,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
request_specific,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
semantic_memory,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
semantic_memory,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
semantic_memory,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
semantic_memory,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
semantic_memory,0.0,2.0,questions,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,scope_questions,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
semantic_memory,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
completion,1.0,2.0,loss,1.21875,1.0416666666666667,1.40625,48
completion,1.0,2.0,project_correct,0.14583333333333334,0.0625,0.23958333333333334,48
completion,1.0,2.0,correct,0.8125,0.6559895833333333,0.9791666666666666,48
completion,1.0,2.0,incorrect,0.03125,0.0,0.08333333333333333,48
completion,1.0,2.0,unfinished,1.15625,0.9895833333333334,1.3229166666666667,48
completion,1.0,2.0,questions,1.0,1.0,1.0,48
completion,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
completion,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
completion,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
completion,1.0,2.0,scope_questions,0.0,0.0,0.0,48
completion,1.0,2.0,predicted_benefit,0.4220653210366973,0.30078278052786506,0.5503390050225467,48
completion,1.0,2.0,realized_benefit,0.3854166666666667,0.25,0.53125,48
depth2,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
depth2,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
depth2,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
depth2,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
depth2,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
depth2,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
depth2,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth2,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth2,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth2,1.0,2.0,scope_questions,0.0,0.0,0.0,48
depth2,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
depth2,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
depth3,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
depth3,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
depth3,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
depth3,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
depth3,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
depth3,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
depth3,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth3,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth3,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth3,1.0,2.0,scope_questions,0.0,0.0,0.0,48
depth3,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
depth3,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
full_history,1.0,2.0,loss,0.2916666666666667,0.125,0.5,48
full_history,1.0,2.0,project_correct,0.8541666666666666,0.75,0.9375,48
full_history,1.0,2.0,correct,1.8541666666666667,1.75,1.9375,48
full_history,1.0,2.0,incorrect,0.14583333333333334,0.0625,0.25,48
full_history,1.0,2.0,unfinished,0.0,0.0,0.0,48
full_history,1.0,2.0,questions,0.03125,0.0,0.08333333333333333,48
full_history,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
full_history,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
full_history,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
full_history,1.0,2.0,scope_questions,0.0,0.0,0.0,48
full_history,1.0,2.0,predicted_benefit,0.03125,0.0,0.08333333333333333,48
full_history,1.0,2.0,realized_benefit,0.03125,0.0,0.08333333333333333,48
generic2,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
generic2,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
generic2,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
generic2,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
generic2,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
generic2,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
generic2,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
generic2,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
generic2,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
generic2,1.0,2.0,scope_questions,0.0,0.0,0.0,48
generic2,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
generic2,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
ideal_depth2,1.0,2.0,loss,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,project_correct,1.0,1.0,1.0,48
ideal_depth2,1.0,2.0,correct,2.0,2.0,2.0,48
ideal_depth2,1.0,2.0,incorrect,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,unfinished,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,questions,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,scope_questions,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,predicted_benefit,0.0,0.0,0.0,48
ideal_depth2,1.0,2.0,realized_benefit,0.0,0.0,0.0,48
no_scope,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
no_scope,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
no_scope,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
no_scope,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
no_scope,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
no_scope,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
no_scope,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
no_scope,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
no_scope,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
no_scope,1.0,2.0,scope_questions,0.0,0.0,0.0,48
no_scope,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
no_scope,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
one_step,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
one_step,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
one_step,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
one_step,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
one_step,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
one_step,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
one_step,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
one_step,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
one_step,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
one_step,1.0,2.0,scope_questions,0.0,0.0,0.0,48
one_step,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
one_step,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
request_specific,1.0,2.0,loss,1.0208333333333333,0.8229166666666666,1.21875,48
request_specific,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
request_specific,1.0,2.0,correct,1.03125,0.8541666666666666,1.2083333333333333,48
request_specific,1.0,2.0,incorrect,0.052083333333333336,0.0,0.11458333333333333,48
request_specific,1.0,2.0,unfinished,0.9166666666666666,0.7395833333333334,1.09375,48
request_specific,1.0,2.0,questions,0.8020833333333334,0.6979166666666666,0.8958333333333334,48
request_specific,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
request_specific,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
request_specific,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
request_specific,1.0,2.0,scope_questions,0.0,0.0,0.0,48
request_specific,1.0,2.0,predicted_benefit,0.5945278309055769,0.4910644867246458,0.6927967831554567,48
request_specific,1.0,2.0,realized_benefit,0.5833333333333334,0.4583333333333333,0.6979166666666666,48
semantic_memory,1.0,2.0,loss,1.2083333333333333,0.96875,1.4583333333333333,48
semantic_memory,1.0,2.0,project_correct,0.2604166666666667,0.15598958333333335,0.3854166666666667,48
semantic_memory,1.0,2.0,correct,0.875,0.6666666666666666,1.0835937499999986,48
semantic_memory,1.0,2.0,incorrect,0.08333333333333333,0.020833333333333332,0.16666666666666666,48
semantic_memory,1.0,2.0,unfinished,1.0416666666666667,0.84375,1.2395833333333333,48
semantic_memory,1.0,2.0,questions,0.9479166666666666,0.8854166666666666,0.9895833333333334,48
semantic_memory,1.0,2.0,repeated_questions,0.0,0.0,0.0,48
semantic_memory,1.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
semantic_memory,1.0,2.0,unresolved_responses,0.0,0.0,0.0,48
semantic_memory,1.0,2.0,scope_questions,0.0,0.0,0.0,48
semantic_memory,1.0,2.0,predicted_benefit,0.35122365922534965,0.25488771415273426,0.451675300026599,48
semantic_memory,1.0,2.0,realized_benefit,0.3958333333333333,0.25,0.5416666666666666,48
completion,2.0,2.0,loss,0.7708333333333334,0.6354166666666666,0.8958333333333334,48
completion,2.0,2.0,project_correct,0.2604166666666667,0.14583333333333334,0.3854166666666667,48
completion,2.0,2.0,correct,1.2604166666666667,1.1458333333333333,1.3854166666666667,48
completion,2.0,2.0,incorrect,0.03125,0.0,0.08333333333333333,48
completion,2.0,2.0,unfinished,0.7083333333333334,0.5833333333333334,0.8229166666666666,48
completion,2.0,2.0,questions,2.0,2.0,2.0,48
completion,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
completion,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
completion,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
completion,2.0,2.0,scope_questions,0.0,0.0,0.0,48
completion,2.0,2.0,predicted_benefit,0.9043287129156353,0.8381021257378278,0.9667439005385267,48
completion,2.0,2.0,realized_benefit,0.8333333333333334,0.71875,0.9273437499999986,48
depth2,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,48
depth2,2.0,2.0,project_correct,0.5,0.375,0.6354166666666666,48
depth2,2.0,2.0,correct,1.5,1.375,1.6354166666666667,48
depth2,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
depth2,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,48
depth2,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,48
depth2,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth2,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth2,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth2,2.0,2.0,scope_questions,0.0,0.0,0.0,48
depth2,2.0,2.0,predicted_benefit,1.0725225448206854,0.9991470329420122,1.1607445319919758,48
depth2,2.0,2.0,realized_benefit,1.0520833333333333,0.9479166666666666,1.1770833333333333,48
depth3,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,48
depth3,2.0,2.0,project_correct,0.5,0.375,0.6354166666666666,48
depth3,2.0,2.0,correct,1.5,1.375,1.6354166666666667,48
depth3,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
depth3,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,48
depth3,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,48
depth3,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth3,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth3,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth3,2.0,2.0,scope_questions,0.0,0.0,0.0,48
depth3,2.0,2.0,predicted_benefit,1.0725225448206854,0.9991470329420122,1.1607445319919758,48
depth3,2.0,2.0,realized_benefit,1.0520833333333333,0.9479166666666666,1.1770833333333333,48
full_history,2.0,2.0,loss,0.2916666666666667,0.125,0.5,48
full_history,2.0,2.0,project_correct,0.8541666666666666,0.75,0.9375,48
full_history,2.0,2.0,correct,1.8541666666666667,1.75,1.9375,48
full_history,2.0,2.0,incorrect,0.14583333333333334,0.0625,0.25,48
full_history,2.0,2.0,unfinished,0.0,0.0,0.0,48
full_history,2.0,2.0,questions,0.03125,0.0,0.08333333333333333,48
full_history,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
full_history,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
full_history,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
full_history,2.0,2.0,scope_questions,0.0,0.0,0.0,48
full_history,2.0,2.0,predicted_benefit,0.03125,0.0,0.08333333333333333,48
full_history,2.0,2.0,realized_benefit,0.03125,0.0,0.08333333333333333,48
generic2,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,48
generic2,2.0,2.0,project_correct,0.5,0.375,0.6354166666666666,48
generic2,2.0,2.0,correct,1.5,1.375,1.6354166666666667,48
generic2,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
generic2,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,48
generic2,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,48
generic2,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
generic2,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
generic2,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
generic2,2.0,2.0,scope_questions,0.0,0.0,0.0,48
generic2,2.0,2.0,predicted_benefit,1.0725225448206854,0.9991470329420122,1.1607445319919758,48
generic2,2.0,2.0,realized_benefit,1.0520833333333333,0.9479166666666666,1.1770833333333333,48
ideal_depth2,2.0,2.0,loss,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,project_correct,1.0,1.0,1.0,48
ideal_depth2,2.0,2.0,correct,2.0,2.0,2.0,48
ideal_depth2,2.0,2.0,incorrect,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,unfinished,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,questions,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,scope_questions,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,predicted_benefit,0.0,0.0,0.0,48
ideal_depth2,2.0,2.0,realized_benefit,0.0,0.0,0.0,48
no_scope,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,48
no_scope,2.0,2.0,project_correct,0.5,0.375,0.6354166666666666,48
no_scope,2.0,2.0,correct,1.5,1.375,1.6354166666666667,48
no_scope,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
no_scope,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,48
no_scope,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,48
no_scope,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
no_scope,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
no_scope,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
no_scope,2.0,2.0,scope_questions,0.0,0.0,0.0,48
no_scope,2.0,2.0,predicted_benefit,1.0725225448206854,0.9991470329420122,1.1607445319919758,48
no_scope,2.0,2.0,realized_benefit,1.0520833333333333,0.9479166666666666,1.1770833333333333,48
one_step,2.0,2.0,loss,0.875,0.6666666666666666,1.0835937499999986,48
one_step,2.0,2.0,project_correct,0.3958333333333333,0.2708333333333333,0.5208333333333334,48
one_step,2.0,2.0,correct,1.1770833333333333,0.9791666666666666,1.375,48
one_step,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
one_step,2.0,2.0,unfinished,0.7708333333333334,0.5729166666666666,0.96875,48
one_step,2.0,2.0,questions,1.4375,1.2395833333333333,1.625,48
one_step,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
one_step,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
one_step,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
one_step,2.0,2.0,scope_questions,0.0,0.0,0.0,48
one_step,2.0,2.0,predicted_benefit,0.8075753343757327,0.6694560124918429,0.9542625885968115,48
one_step,2.0,2.0,realized_benefit,0.7291666666666666,0.57265625,0.90625,48
request_specific,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,48
request_specific,2.0,2.0,project_correct,0.5,0.375,0.6354166666666666,48
request_specific,2.0,2.0,correct,1.5,1.375,1.6354166666666667,48
request_specific,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,48
request_specific,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,48
request_specific,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,48
request_specific,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
request_specific,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
request_specific,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
request_specific,2.0,2.0,scope_questions,0.0,0.0,0.0,48
request_specific,2.0,2.0,predicted_benefit,1.0725225448206854,0.9991470329420122,1.1607445319919758,48
request_specific,2.0,2.0,realized_benefit,1.0520833333333333,0.9479166666666666,1.1770833333333333,48
semantic_memory,2.0,2.0,loss,0.6145833333333334,0.4375,0.8125,48
semantic_memory,2.0,2.0,project_correct,0.5208333333333334,0.3958333333333333,0.65625,48
semantic_memory,2.0,2.0,correct,1.46875,1.3125,1.625,48
semantic_memory,2.0,2.0,incorrect,0.08333333333333333,0.020833333333333332,0.16666666666666666,48
semantic_memory,2.0,2.0,unfinished,0.4479166666666667,0.2916666666666667,0.6041666666666666,48
semantic_memory,2.0,2.0,questions,1.6666666666666667,1.5104166666666667,1.8020833333333333,48
semantic_memory,2.0,2.0,repeated_questions,0.0,0.0,0.0,48
semantic_memory,2.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
semantic_memory,2.0,2.0,unresolved_responses,0.0,0.0,0.0,48
semantic_memory,2.0,2.0,scope_questions,0.0,0.0,0.0,48
semantic_memory,2.0,2.0,predicted_benefit,0.9129386326449188,0.7981762167814926,1.0334872198767548,48
semantic_memory,2.0,2.0,realized_benefit,0.9895833333333334,0.8541666666666666,1.1354166666666667,48
completion,4.0,2.0,loss,0.2604166666666667,0.1455729166666667,0.3958333333333333,48
completion,4.0,2.0,project_correct,0.7604166666666666,0.6354166666666666,0.8645833333333334,48
