revision,context,question,answer_type,executable,public_contract,reason,metadata_only_contract
v1,67111519-017b-4638-9a74-41eb792c2f0f,d6a3a306-fb34-48dc-838e-3d109f60d685,span,False,False,nonnumeric cell,False
v1,67111519-017b-4638-9a74-41eb792c2f0f,2497017d-3e7d-475a-bbfd-e1f53db71e5c,span,True,False,metric_support,True
v1,67111519-017b-4638-9a74-41eb792c2f0f,4af6718b-f4d3-40c4-a966-5a58d9c88fd4,span,True,False,dimensionless_unit;metric_support;operation_contract;percentage_expression,False
v1,67111519-017b-4638-9a74-41eb792c2f0f,60b4a92c-0acc-42b0-bbce-f66df867e4ca,arithmetic,True,False,metric_support;period_binding;unsupported_period,True
v1,67111519-017b-4638-9a74-41eb792c2f0f,2c6cdd11-6b7e-44d0-be4b-e582a1c6f389,arithmetic,True,False,metric_support,True
v1,67111519-017b-4638-9a74-41eb792c2f0f,897c5ed0-edb7-43a1-95a1-a693b827535a,arithmetic,True,False,metric_support,True
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,6ae2c15d-9722-4ce8-8c70-0e27577d55f1,span,False,False,unsupported,
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,fd851472-5853-43f3-805a-de69a4637d56,multi-span,False,False,unsupported,
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,fe42645d-c4c4-4892-ac79-a605c0f4e0cf,span,False,False,unsupported,
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,0dc550d6-ba0a-4f46-b606-b102f5441631,arithmetic,True,False,metric_support,True
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,34c51b4d-4240-4767-b57c-363250b74a64,count,False,False,unsupported constant,False
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,77191f82-0a18-4050-8911-bff9f1a401d9,arithmetic,True,False,dimensionless_unit;metric_support,True
v1,dd47151a-e645-492f-af54-08e3e5b4254d,f1eeaafb-40e5-47aa-8614-5667480515b0,multi-span,False,False,unsupported,
v1,dd47151a-e645-492f-af54-08e3e5b4254d,8ee547bf-784c-4fbd-a5b1-adc151550fdd,multi-span,True,False,metric_support;period_binding;unsupported_period,False
v1,dd47151a-e645-492f-af54-08e3e5b4254d,15c0a851-5b49-4515-a264-b480faf0c64f,multi-span,False,False,nonnumeric cell,False
v1,dd47151a-e645-492f-af54-08e3e5b4254d,37a02df3-f6f6-4981-8d60-71a587c6db9f,arithmetic,True,False,metric_support;period_binding;unsupported_period,False
v1,dd47151a-e645-492f-af54-08e3e5b4254d,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,arithmetic,False,False,nonnumeric cell,False
v1,dd47151a-e645-492f-af54-08e3e5b4254d,e925d7ab-a48c-497f-9f00-29005b315ca2,arithmetic,False,False,nonnumeric cell,False
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,49e19b33-4aa5-47dc-aeb1-3370f08ead0a,span,False,False,unsupported,
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,0743385d-68cd-4a00-aa67-a593bf2638bd,span,True,False,metric_support;period_binding;unsupported_period,False
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,7bdf70f2-45b5-485b-b3b3-c967f28f38f1,multi-span,False,False,unsupported reference,False
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,arithmetic,True,False,dimensionless_unit;metric_support;percentage_scale;unsupported_period,False
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,2540bb8a-19ac-481a-9a70-08a5a406889b,arithmetic,True,False,metric_support,True
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,904679f4-77f5-4575-975a-2b7b18eedbcf,arithmetic,True,False,dimensionless_unit;metric_support;percentage_scale;period_binding;unsupported_period,False
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,a5dbd519-b3f0-4124-867a-86e28524d354,span,False,False,nonnumeric cell,False
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,ef3a55f8-f528-4b2f-bda7-3cd64af867b3,span,False,False,unsupported,
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,2dfe3479-605d-4b6e-ba8f-2640977e24a4,span,False,False,unsupported,
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,24e5d679-e4f1-47b4-a0ca-77550ef8c4be,arithmetic,True,False,metric_support,False
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,edfade0f-df94-4bdb-85b2-0b9862dae1ee,arithmetic,False,False,unsupported,
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,c502823a-fa1d-49e3-b14e-6973d72afc2f,arithmetic,True,False,metric_support;period_binding;unsupported_period,False
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,e87b913f-bd08-43e0-9539-f828bd2ff3eb,multi-span,False,False,unsupported,
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,a9d259dd-ecc0-4c47-aa63-eec04e443241,span,False,False,unsupported,
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,472e6515-b67f-401c-b7b7-2a3bf499a9d7,span,False,False,unsupported,
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,b21b7d73-a581-4e3f-8847-58280b20d59a,arithmetic,False,False,unsupported reference,False
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,89f44070-0740-42f3-88bb-fa108d0e54c2,arithmetic,True,False,metric_support;period_binding,False
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,arithmetic,True,False,metric_support;period_binding;unsupported_period,False
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,31010234-251c-4e67-854a-5a41fc8a65ab,span,False,False,unsupported,
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,ab907d38-5eba-496d-ab2b-7c3f5893cbba,span,False,False,unsupported,
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,76fab682-8963-4855-90a2-e68df40d6f4c,multi-span,False,False,unsupported,
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,4512f332-f703-4af4-ac40-594f459f6d8d,arithmetic,True,False,metric_support,False
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,935ce542-a630-4917-a5dd-fe4647b219a2,arithmetic,False,False,list index out of range,False
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,43534a69-ffbb-4c73-8605-7b787ff86979,multi-span,False,False,unsupported,
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,1bb0d605-4ca8-45dd-ac2a-2e68975f9b1f,span,False,False,unsupported,
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,ca296636-064f-4bb6-9363-aadb51392f5f,span,False,False,unsupported,
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,fd39359f-cea8-44b7-b5b9-7f7566db09c3,span,False,False,unsupported,
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,ae97568d-fcde-469c-a9a9-118d339cccb5,arithmetic,True,False,dimensionless_unit;metric_support;percentage_scale,False
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,35096122-545b-4be2-8ea2-ebafd94c687f,arithmetic,True,False,dimensionless_unit;metric_support;operation_contract,False
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,bb2de5ba-6926-4ca3-ae67-5fe2264b1b59,arithmetic,True,False,metric_support;period_binding;unsupported_period,False
v2,e78f8b29-6085-43de-b32f-be1a68641be3,9c569bea-e036-4c27-8e41-82c6efab1d31,multi-span,False,False,unsupported,
v2,e78f8b29-6085-43de-b32f-be1a68641be3,83dcc128-9777-4ae2-ba55-50162ac43257,span,False,False,unsupported,
v2,e78f8b29-6085-43de-b32f-be1a68641be3,0384152d-1f9f-4b12-85a9-2ca5e1c97682,span,False,False,unsupported,
v2,e78f8b29-6085-43de-b32f-be1a68641be3,dbee8930-0110-41c7-95fe-0178ddf4f841,arithmetic,False,False,unsupported,
v2,e78f8b29-6085-43de-b32f-be1a68641be3,1665b441-93e5-481d-b0b4-2d28ce70e1a8,arithmetic,False,False,unsupported,
v2,e78f8b29-6085-43de-b32f-be1a68641be3,2cec8a99-3a83-409b-886b-dbb65a05fb25,arithmetic,False,False,unsupported,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,dd2a72ca-f65c-4673-9820-f7cefcb06ee4,span,False,False,unsupported,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,f4410a2a-6ce4-484c-ba08-0261a6c74893,span,False,False,unsupported,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,b3091542-8205-4661-9a7d-4d466cdf3134,span,False,False,unsupported,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,arithmetic,False,False,unsupported,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,span,False,False,unsupported reference,
v2,98c16699-d385-4631-91de-1bc3c87f9f99,6a462285-d663-4da7-b614-77a0dfb56a8c,arithmetic,False,False,list index out of range,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,9ef99ae1-e17b-4b51-b81e-48cc48a481d1,multi-span,False,False,unsupported,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,49995e73-6740-40f5-9322-cfa4f0a4377d,multi-span,False,False,unsupported,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,0a36372a-151d-432f-becb-5b2d738f0e56,multi-span,False,False,unsupported,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,2965da5c-4d2a-402c-85c6-c1514f998285,count,False,False,unsupported,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,847400ae-6d72-4afa-9b2c-c9677578034a,arithmetic,False,False,unsupported,
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,arithmetic,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,d4919a15-b02b-4392-99ae-9eccd114e0ff,span,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,05236c86-d05a-40d9-b15f-8eb197e2e158,span,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,f14ec8e3-78ca-490c-afcd-fb53de9e3d0a,span,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,5d471d72-8847-44c3-a732-a1fd3cdd57a0,arithmetic,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,70cc2860-933e-415f-acc0-d49985ed86d3,arithmetic,False,False,unsupported,
v2,806ac467-ab50-428b-8584-baef6d6c4cee,292786c8-d057-44e9-b6f8-e22e2390c4a7,arithmetic,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,d6a3a306-fb34-48dc-838e-3d109f60d685,span,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,2497017d-3e7d-475a-bbfd-e1f53db71e5c,span,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,4af6718b-f4d3-40c4-a966-5a58d9c88fd4,span,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,60b4a92c-0acc-42b0-bbce-f66df867e4ca,arithmetic,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,2c6cdd11-6b7e-44d0-be4b-e582a1c6f389,arithmetic,False,False,unsupported,
v2,67111519-017b-4638-9a74-41eb792c2f0f,897c5ed0-edb7-43a1-95a1-a693b827535a,arithmetic,False,False,unsupported,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,6ae2c15d-9722-4ce8-8c70-0e27577d55f1,span,False,False,unsupported,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,fd851472-5853-43f3-805a-de69a4637d56,multi-span,False,False,unsupported,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,fe42645d-c4c4-4892-ac79-a605c0f4e0cf,span,False,False,unsupported,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,0dc550d6-ba0a-4f46-b606-b102f5441631,arithmetic,True,True,passes_public_contract,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,34c51b4d-4240-4767-b57c-363250b74a64,count,False,False,unsupported,
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,77191f82-0a18-4050-8911-bff9f1a401d9,arithmetic,True,False,percentage_expression,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,f1eeaafb-40e5-47aa-8614-5667480515b0,multi-span,False,False,unsupported,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,8ee547bf-784c-4fbd-a5b1-adc151550fdd,multi-span,False,False,unsupported,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,15c0a851-5b49-4515-a264-b480faf0c64f,multi-span,False,False,unsupported,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,37a02df3-f6f6-4981-8d60-71a587c6db9f,arithmetic,False,False,unsupported,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,arithmetic,True,False,percentage_expression,
v2,dd47151a-e645-492f-af54-08e3e5b4254d,e925d7ab-a48c-497f-9f00-29005b315ca2,arithmetic,False,False,unsupported,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,49e19b33-4aa5-47dc-aeb1-3370f08ead0a,span,False,False,unsupported,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,0743385d-68cd-4a00-aa67-a593bf2638bd,span,False,False,unsupported,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,7bdf70f2-45b5-485b-b3b3-c967f28f38f1,multi-span,False,False,list index out of range,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,arithmetic,False,False,unsupported,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,2540bb8a-19ac-481a-9a70-08a5a406889b,arithmetic,False,False,unsupported,
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,904679f4-77f5-4575-975a-2b7b18eedbcf,arithmetic,True,False,metric_support;percentage_expression;period_binding,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,a5dbd519-b3f0-4124-867a-86e28524d354,span,False,False,unsupported,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,ef3a55f8-f528-4b2f-bda7-3cd64af867b3,span,False,False,unsupported,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,2dfe3479-605d-4b6e-ba8f-2640977e24a4,span,False,False,unsupported,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,24e5d679-e4f1-47b4-a0ca-77550ef8c4be,arithmetic,True,False,period_binding,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,edfade0f-df94-4bdb-85b2-0b9862dae1ee,arithmetic,True,False,period_binding,
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,c502823a-fa1d-49e3-b14e-6973d72afc2f,arithmetic,True,False,operation_contract;period_binding,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,e87b913f-bd08-43e0-9539-f828bd2ff3eb,multi-span,False,False,unsupported,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,a9d259dd-ecc0-4c47-aa63-eec04e443241,span,False,False,unsupported,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,472e6515-b67f-401c-b7b7-2a3bf499a9d7,span,False,False,unsupported,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,b21b7d73-a581-4e3f-8847-58280b20d59a,arithmetic,False,False,unsupported,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,89f44070-0740-42f3-88bb-fa108d0e54c2,arithmetic,False,False,unsupported,
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,arithmetic,True,False,period_binding,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,31010234-251c-4e67-854a-5a41fc8a65ab,span,False,False,unsupported,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,ab907d38-5eba-496d-ab2b-7c3f5893cbba,span,False,False,unsupported,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,76fab682-8963-4855-90a2-e68df40d6f4c,multi-span,False,False,unsupported,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,4512f332-f703-4af4-ac40-594f459f6d8d,arithmetic,False,False,unsupported,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,935ce542-a630-4917-a5dd-fe4647b219a2,arithmetic,False,False,unsupported,
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,43534a69-ffbb-4c73-8605-7b787ff86979,multi-span,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,1bb0d605-4ca8-45dd-ac2a-2e68975f9b1f,span,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,ca296636-064f-4bb6-9363-aadb51392f5f,span,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,fd39359f-cea8-44b7-b5b9-7f7566db09c3,span,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,ae97568d-fcde-469c-a9a9-118d339cccb5,arithmetic,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,35096122-545b-4be2-8ea2-ebafd94c687f,arithmetic,False,False,unsupported,
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,bb2de5ba-6926-4ca3-ae67-5fe2264b1b59,arithmetic,False,False,unsupported,
